Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
0	525.0	1065.5
1	527.0	1066.5
2	532.0	1071.0
3	532.0	1071.0
4	540.0	1080.0
5	540.0	1080.0
6	540.0	1080.0
7	540.0	1080.0
8	540.0	1080.0
9	540.0	1080.0
10	540.0	1080.0
11	540.0	1080.0
12	540.0	1080.0
13	540.0	1080.0
14	540.0	1080.0
15	540.0	1080.0
16	540.0	1080.0
17	540.0	1080.0
18	540.0	1080.0
19	540.0	1080.0
20	540.0	1080.0
21	540.0	1080.0
22	540.0	1080.0
23	540.0	1080.0
24	540.0	1080.0
25	540.0	1080.0
26	540.0	1080.0
27	540.0	1080.0
28	540.0	1080.0
29	540.0	1080.0
30	540.0	1080.0
31	540.0	1080.0
32	540.0	1080.0
33	540.0	1080.0
34	540.0	1080.0
35	540.0	1080.0
36	540.0	1080.0
37	540.0	1080.0
38	540.0	1080.0
39	540.0	1080.0
40	540.0	1080.0
41	540.0	1080.0
42	540.0	1080.0
43	540.0	1080.0
44	540.0	1080.0
45	540.0	1080.0
46	540.0	1080.0
47	540.0	1080.0
48	540.0	1080.0
49	540.0	1080.0
50	540.0	1080.0
51	540.0	1080.0
52	540.0	1080.0
53	540.0	1080.0
54	540.0	1080.0
55	540.0	1080.0
56	540.0	1080.0
57	540.0	1080.0
58	540.0	1080.0
59	540.0	1080.0
60	540.0	1080.0
61	540.0	1080.0
62	540.0	1080.0
63	540.0	1080.0
64	540.0	1080.0
65	540.0	1080.0
66	540.0	1080.0
67	540.0	1080.0
68	540.0	1080.0
69	540.0	1080.0
70	540.0	1080.0
71	540.0	1080.0
72	540.0	1080.0
73	540.0	1080.0
74	540.0	1080.0
75	540.0	1080.0
76	540.0	1080.0
77	540.0	1080.0
78	540.0	1080.0
79	540.0	1080.0
80	540.0	1080.0
81	540.0	1080.0
82	540.0	1080.0
83	540.0	1080.0
84	540.0	1080.0
85	540.0	1080.0
86	540.0	1080.0
87	540.0	1080.0
88	540.0	1080.0
